result_id,docid,sentid,target_word,strat_phrase_root,strat_flag,strat_name_id,in_ref,source,phrase
1,55a68e92e13823757cc6fa6d,5416,skeletonized,Burgess,Shale,0,no,in_sent,"The unshaded field between the two curves indicates the 203 known diversity of soft-bodied and lightly skeletonized animals , such as are abundant in the Burgess Shale ."
2,55b6cd71e13823bd29ba7d93,722,Skeletal-intraclast,Bonneterre,mention,60743,no,in_sent,Skeletal-intraclast grain flows are most common in the PBC along the margin of the Greenfield basin but are also present along the east flank of the Lebanon arch in the lower part of the Bonneterre .
3,55b6cd71e13823bd29ba7d93,759,ooid-skeletal,Bonneterre,mention,60743,no,in_sent,"Crossbedding in Bonneterre ooid-skeletal sandstones was not observed in available drill core ; however , thin beds of ooid-skeletal intraclasts and grapestone clasts over scoured hardground surfaces may represent lags between barrier sand bars ."
4,55a68e92e13823757cc6fa6d,1478,skeletons,Burgess,Shale,0,no,in_sent,"Imagine that the extraordinary conditions of fossilization had not occurred in the Burgess Shale , so that only animals with shelly skeletons survived to be fossilized ."
5,55a68e92e13823757cc6fa6d,3736,skeletal,Valdai,Group,0,no,out_sent,"This basin type is confirmed also by the occurrence of organic remains in the upper Valdai Group , remnants of algae and diverse microphytoplankton .In the Baltian deposits , skeletal fauna and numerous traces of mud-eaters immediately appear with the beginning , whereas remains of algae completely disappear ."
6,55a68e92e13823757cc6fa6d,464,skeletal,Sullivan,Formation,5984,no,out_sent,"The complex consists of a fringing belt of oolite with thrombolites , offlapping the strata of the shaly half-cycle and itself offlapped by strongly cyclical rocks of the shaly half-cycle -LRB- Sullivan Formation -RRB- accumulated in an inshore basin to the east that was separated from the open sea by the peritidal complex .Aitken -LRB- in press -RRB- concluded that these rocks - - shales interrupted by spaced , massive beds of oolitic , skeletal and conglomeratic limestone accumulated below wave base and that the ooids were introduced into the basin by mass-transport mechanisms from their site of origin , namely , the edge of the carbonate complex ."
7,55b6cd71e13823bd29ba7d93,752,ooidskeletal,Bonneterre,Formation,219,no,in_sent,"Thick ooidskeletal packstone-grainstone facies in the Bonneterre Formation are distributed over almost 4,000 mi2 in the Springfield quadrangle ."
8,55b6cd71e13823bd29ba7d93,969,ooid-skeletal,Bonneterre,mention,219,no,in_sent,This may mark an early Dresbachian transgression -LRB- T2a -RRB- that was followed by development of widespread ooid-skeletal bank facies of the middle part of the Bonneterre in the Lebanon arch and shallow - to deep-ramp facies in the Central Missouri and Greenfield basins -LRB- fig .
9,55b6cd71e13823bd29ba7d93,751,ooia-skeletal,Bonneterre,mention,60743,no,in_sent,"Within some Bonneterre packstone-grainstone beds , ooia-skeletal wackestone to packstone interbeds are burrowed and churned ."
10,55b6cd71e13823bd29ba7d93,564,skeletal,Clastic Facies,Shale,0,no,out_sent,"Clastic Facies Shale -LRB- lntrashelf Basin -RRB- Lithofacies Description The shale lithofacies in the Cambrian sequence of the Springfield quadrangle comprises dark-green , blue , and blue-gray shale , thin to thick limestone interbeds , and minor local thin sandstone interbeds .The carbonate interbeds include matrix - and clast-supported carbonate conglomerate , Renalcis and Epiphyton thrombolite boundstone , skeletal wackestone and packstone , dark-colored mudstone and nodular mudstone , and thin ooid-pelletal packstone and grainstone .Conglomerate beds , skeletal wackestone and ."
